ICMMID,Confidence_Factor,Mine_Name,Group Names,Latitude,Longitude,Asset_Type,Country,Primary_Commodity,Secondary_Commodity,Other_Commodities
ICMM00734,Very Low,Santa Rosa Lead Zinc Mine 11,,-12.5978,-74.4414,Mine,Peru,lead,zinc,gold
ICMM00738,Very Low,"Luna De Plata, Mina","Luna De Plata, Mina;Virginia Vii Mina;Mi Peru Uno, Mina",-12.69356667,-75.0488,Mine,Peru,silver,,
ICMM00739,Very Low,"Rivera Alta, Mina",,-12.6809,-69.7404,Mine,Peru,gold,,
ICMM00740,Moderate,Raul Mine,Raul Mine;Condestable Mine;Raul Condestable;Condestable,-12.69618148,-76.58778999,Mine,Peru,copper,gold,lead;silver;zinc
ICMM00741,Very Low,"Carolina, Mina",,-12.7006,-74.6664,Mine,Peru,silver,,
ICMM00744,Very Low,Telepaccha Lead Zinc Mine 4,,-12.7478,-75.258,Mine,Peru,lead,silver,
ICMM00746,Very Low,"Espanola Uno, Mina",,-12.7606,-74.333,Mine,Peru,silver,,
ICMM00747,Very Low,"Lucero No. 2, Mina",,-12.7803,-72.1441,Mine,Peru,silver,,
ICMM00756,High,Julcani,Julcani Mining District;Julcani;Julcani;Julcani,-12.94967699,-74.80569434,Mine,Peru,silver,lead,copper;gold;antimony;zinc
ICMM00766,Very Low,"Pepito, Mina",,-13.0312,-74.983,Mine,Peru,silver,,
ICMM00768,Very Low,"El Olivo, Mina",,-13.0437,-75.0664,Mine,Peru,silver,,
ICMM00770,Very Low,Cullioni I Mina,Cullioni I Mina;Osa Mayor Mina,-13.07435,-73.78385,Mine,Peru,silver,,
ICMM00777,Moderate,San Genaro Silver 26,San Genaro Silver 26;Santa Ines,-13.16766,-75.158445,Mine,Peru,silver,lead,gold;zinc
ICMM00780,Very Low,Chavin Lead Zinc Mine 34,,-13.1895,-75.6497,Mine,Peru,zinc,copper,
ICMM00782,Very Low,"Prosperidad No. 1, Mina",,-13.2034,-75.2303,Mine,Peru,silver,,
ICMM00785,Very Low,"Guido Daniel, Mina.",,-13.307,-72.3538,Mine,Peru,silver,,
